Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image
Teofilo Camomot Shrine,"Carcar City, Cebu",0,0,,,8:00:00,16:30:00,10.10321198,123.6581503,0,0,1,0,0,0,0,"/location_images/Teofilo_Camomot_Shrine/Teofilo_Camomot_Shrine.jpg,/location_images/Teofilo_Camomot_Shrine/Teofilo_Camomot_Shrine_FJVOyxW.jpg"
Theotokos Shrine,"Natalio B. Bacalso S National Hwy, Carcar City, Cebu",0,0,,,6:00:00,16:00:00,10.11622865,123.6738466,0,0,1,0,0,0,0,/location_images/Theotokos_Shrine/Theotokos_Shrine.jpg
Sky Experience Adventure,"Osmeña Blvd, Cebu City, 6000 Cebu",1,250,,,14:00:00,0:00:00,10.30786628,123.8941179,0,0,0,0,1,1,0,"/location_images/Sky_Experience_Adventure/Sky_Experience_Adventure.jpg,/location_images/Sky_Experience_Adventure/Sky_Experience_Adventure_uOmuM97.jpg"
Nalusuan Island,"Cordova Reef, Cordova 6000 Philippines",0,400,,,6:00:00,20:00:00,10.19074508,124.0003623,0,1,0,0,1,0,0,"/location_images/Nalusuan_Island/Nalusuan_Island.jpg,/location_images/Nalusuan_Island/Nalusuan_Island_UAkEpoZ.jpg"
Hilutongan Island (Gilutongan Island),"Cordova Reef, Cordova 6000 Philippines",0,,100,300,0:00:00,23:59:59,10.20675372,123.9900088,0,1,0,0,1,0,0,/location_images/Hilutongan_Island_(Gilutongan_Island)/Hilutongan_Island_Gilutongan_Island.jpg
Caohagan Island,"Lapu-Lapu City, Cebu",0,,200,300,0:00:00,23:59:59,10.20388762,124.0177052,0,1,0,0,1,0,0,"/location_images/Caohagan_Island/Caohagan_Island.jpg,/location_images/Caohagan_Island/Caohagan_Island_NtXALg1.jpg"
Taboan Public Market,"Cebu City, 6000 Cebu",0,0,,,4:00:00,19:00:00,10.29556248,123.8914812,0,0,0,0,1,0,1,"/location_images/Taboan_Public_Market/Taboan_Public_Market.jpg,/location_images/Taboan_Public_Market/Taboan_Public_Market_8JGc1wS.jpg"
Colon Street,"Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.29674146,123.8990271,0,0,0,0,1,0,1,/location_images/Colon_Street/Colon_Street.jpg
Plaza Independencia,"CSCR Tunnel, Cebu City, 6000 Cebu",0,30,,,8:00:00,19:00:00,10.29318993,123.9051288,1,0,0,0,0,0,1,/location_images/Plaza_Independencia/Plaza_Independencia.jpg
Olango Islands,"Lapu-Lapu City, Cebu",0,,20,100,0:00:00,23:59:59,10.24950083,124.0376597,0,1,0,0,1,0,0,"/location_images/Olango_Islands/Olango_Islands.jpg,/location_images/Olango_Islands/Olango_Islands_ctMpDVG.jpg,/location_images/Olango_Islands/Olango_Islands_bknP4Rj.jpg"
San Vicente Marine Sanctuary,"Lapu-Lapu City, Cebu",0,30,,,7:00:00,17:00:00,10.24859008,124.0228568,0,1,0,0,1,0,0,"/location_images/San_Vicente_Marine_Sanctuary/San_Vicente_Marine_Sanctuary.jpg,/location_images/San_Vicente_Marine_Sanctuary/San_Vicente_Marine_Sanctuary.png"
Orchids Gallery,"National Hwy, Moalboal, Cebu",0,,20,70,8:00:00,18:00:00,9.941121798,123.3979552,0,1,0,0,0,0,0,/location_images/Orchids_Gallery/Orchids_Gallery.jpg
SeaQuest Dive Center,"Panagsama Rd, Moalboal, 6032 Cebu",0,100,,,8:00:00,20:00:00,9.950267727,123.3657441,0,1,0,0,1,0,0,"/location_images/SeaQuest_Dive_Center/SeaQuest_Dive_Center.jpg,/location_images/SeaQuest_Dive_Center/SeaQuest_Dive_Center_VxbvigU.jpg"
Cambais Falls,"Alegría, Cebu",0,50,,,7:00:00,17:00:00,9.748458702,123.389276,0,1,0,0,0,0,0,"/location_images/Cambais_Falls/Cambais_Falls.jpg,/location_images/Cambais_Falls/Cambais_Falls_m4pFBeh.jpg"
Green Mosque,"Creekside Street, Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.30389291,123.9009976,0,0,1,0,0,0,1,/location_images/Green_Mosque/Green_Mosque.jpg
Inambakan Falls,"Ginatilan, Cebu",0,50,,,0:00:00,23:59:59,9.568627615,123.3386586,0,1,0,0,0,0,0,"/location_images/Inambakan_Falls/Inambakan_Falls.jpg,/location_images/Inambakan_Falls/Inambakan_Falls_mv3wXMI.jpg"
Alegria Heritage Park,"Alegría, Cebu",0,0,,,0:00:00,23:59:59,9.728419118,123.3393343,0,0,0,0,0,1,1,/location_images/Alegria_Heritage_Park/Alegria_Heritage_Park.jpg
Malapascua Light House,"Daanbantayan, Cebu",0,0,,,0:00:00,23:59:59,11.34320081,124.1112622,1,0,0,0,0,0,1,/location_images/Malapascua_Light_House/Malapascua_Light_House.jpeg
Cuartel Ruins,"Oslob, Cebu",0,0,,,0:00:00,23:59:59,9.520215868,123.4341474,1,0,0,0,0,0,0,"/location_images/Cuartel_Ruins/Cuartel_Ruins.jpg,/location_images/Cuartel_Ruins/Cuartel_Ruins_Gp9vkrN.jpg,/location_images/Cuartel_Ruins/Cuartel_Ruins_s9OgJK9.jpg"
Capila de Sta. Ana,"Toledo City, Cebu",0,,50,200,9:00:00,16:00:00,10.3702742,123.6275732,1,0,1,0,0,0,0,"/location_images/Capila_de_Sta._Ana/Capila_de_Sta._Ana.JPG,/location_images/Capila_de_Sta._Ana/Capila_de_Sta._Ana_b00YU2h.jpg"
Archdiocesan Museum of Cebu,"P. Burgos St, Cebu City, 6000 Cebu",0,100,,,9:00:00,17:00:00,10.29613547,123.9035637,1,0,1,0,0,0,1,/location_images/Archdiocesan_Museum_of_Cebu/Archdiocesan_Museum_of_Cebu.jpg
OAD Tabor Hill,"Purok 3 Talamban Rd, Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.37912544,123.913167,0,0,1,0,0,0,0,/location_images/OAD_Tabor_Hill/OAD_Tabor_Hill.jpg
